""
"Number of unique operators in production data:","184"
"Number of unique wells in production data: ","15154"
"Number of unique operators in well data:","1638"
"Number of unique wells in well data: ","39300"
"Updated number of unique operators in well data:","1638"
"Updated number of unique wells in well data: ","39300"
